language,words,chapter_running_count,chapter_total_count,collections,comments,kudos,bookmarks,hits,title,fandom,rating,day,month,year
English,57657,12,?,14,236,1437,538,25045,"A Villainess's Lawyer - I'll Help You Get The Palimony You Deserve by Bobopacca (Im_Chamsae), Im_Chamsae",Original Work  ,General Audiences,28,Jan,2023
English,23215,8,8,,59,321,45,3588,Reapers by Jezmaiya (Im_Chamsae),Kuroko no Basuke | Kuroko's Basketball  ,Teen And Up Audiences,27,Feb,2021
English,5487,3,17,,,14,3,156,The Lies that We Love to Whisper by Bobopacca (Im_Chamsae),Original Work  ,Teen And Up Audiences,09,Feb,2021
English,12980,6,?,,19,144,23,1725,Purple Murple by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Young Justice (Cartoon), Teen Titans (Comics), Starfire (Comics), Batgirl (Comics)  ",General Audiences,20,Jan,2021
English,3176,2,6,,15,88,8,1163,Of Witches and Magic: A Robin’s Observational Guide to Magical Beasts and Creatures – Journal Edition. by Im_Chamsae,"Batman - All Media Types, Batman (Comics), Harry Potter - J. K. Rowling  ",General Audiences,16,Jan,2021
English,1313,1,1,,,147,7,954,A Safe Space by Im_Chamsae,"Batman - All Media Types, Batman (Comics)  ",General Audiences,06,Nov,2020
English,1134,1,1,,8,150,13,1130,It's Only Skin Deep by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Batman (Comics)  ",General Audiences,24,Jul,2020
English,2178,1,1,,12,189,22,1656,Ringers of Faith by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Batman (Comics), Red Hood and the Outlaws (Comics), Nightwing (Comics)  ",General Audiences,24,Jul,2020
English,2276,1,1,,9,117,8,851,One Little Vendetta by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Batman (Comics), Batgirl (Comics)  ",General Audiences,23,Jul,2020
English,4651,3,3,1,13,80,6,956,Aster by Im_Chamsae,"DCU (Comics), Teen Titans - All Media Types  ",General Audiences,23,Jul,2020
English,11244,1,1,,9,106,18,826,Playing God by Im_Chamsae,"Supernatural, DCU (Comics), Batman - All Media Types, Batman (Comics)  ",Teen And Up Audiences,03,Jul,2020
English,1764,1,1,,5,117,8,1199,Crawling in Starlight by Im_Chamsae,"DCU (Comics), Teen Titans - All Media Types, Teen Titans (Comics), Super Sons (Comics)  ",General Audiences,22,Jun,2020
English,4249,1,1,,10,109,8,1107,Amortentia by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Batman (Comics), Red Robin (Comics), Harry Potter - J. K. Rowling  ",General Audiences,22,Jun,2020
English,2773,1,1,,4,155,10,1351,Sisterhood of the Shrieking Books by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Batman (Comics), Harry Potter - J. K. Rowling, Red Hood and the Outlaws (Comics)  ",General Audiences,18,Jun,2020
English,12086,2,5,,9,71,12,1613,Once Again by Jezmaiya (Im_Chamsae),Kuroko no Basuke | Kuroko's Basketball  ,Teen And Up Audiences,18,Jun,2020
English,2204,1,1,,13,213,18,2161,37 Stars by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Nightwing (Comics), Grayson (Comics), Starfire (Comics), Teen Titans (Comics)  ",General Audiences,15,Jun,2020
English,1824,1,1,,8,205,14,2507,Her Private Life by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Robin: Son of Batman (Comics), Batman and Robin Eternal (Comics), Justice League vs. Teen Titans (2016), Teen Titans: The Judas Contract (2017), Teen Titans - All Media Types, Robin (Comics)  ",General Audiences,11,Jun,2020
English,2064,1,1,,5,166,14,1416,You Got Mail by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Batman (Comics), Red Robin (Comics)  ",General Audiences,10,Jun,2020
English,2440,1,1,,,190,20,1950,The Symbols We Came to Love by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Red Hood and the Outlaws (Comics), Batman (Comics)  ",General Audiences,09,Jun,2020
English,1523,1,1,,5,212,12,1663,When Stars Align by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Teen Titans - All Media Types, Teen Titans (Comics), Teen Titans (Animated Series), Nightwing (Comics)  ",General Audiences,05,Jun,2020
English,13623,1,1,1,13,87,12,753,Super Natural by Im_Chamsae,"DCU (Comics), Batman - All Media Types, Batman (Comics), Batgirl (Comics)  ",Teen And Up Audiences,03,Jun,2020
English,19178,1,2,1,31,128,19,1206,Balades au bord de la Seine: It’s a Real World by Im_Chamsae,"Batman - All Media Types, Batman Incorporated (Comics), Batman Eternal (Comics), Batgirl (Comics)  ",Teen And Up Audiences,29,May,2020
English,15773,2,2,,5,201,32,2514,Hocus Pocus by Im_Chamsae,"Harry Potter - J. K. Rowling, DCU (Comics), Batman - All Media Types, Batman (Comics)  ",General Audiences,25,May,2020
English,29881,3,3,,9,119,12,2603,"99 cent dreams by Jezmaiya (Im_Chamsae), nap_princess",Ever After High  ,Teen And Up Audiences,02,Mar,2019
English,82256,35,35,,15,103,11,2918,"the sleepless elite by Jezmaiya (Im_Chamsae), nap_princess",Ever After High  ,General Audiences,24,Feb,2019
English,4510,2,?,,,12,1,143,"roll out, to Emerald City by Jezmaiya (Im_Chamsae), sleeping_captain (nap_princess)",Fairy Tail  ,Mature,05,Nov,2018
English,2732,1,?,,2,6,,98,"believe in pink by Jezmaiya (Im_Chamsae), sleeping_captain (nap_princess)",Fairy Tail  ,General Audiences,01,Dec,2017
English,3204,1,?,,6,6,,180,"Ghost(Full)buster by Jezmaiya (Im_Chamsae), sleeping_captain (nap_princess)",Fairy Tail  ,General Audiences,31,Oct,2017
